ReciboID,PorcentajeDescuento,VehiculoID,ClienteID,Cantidad,Precio,Precio,Subtotal,Nombre,CostoActual,CostoAnterior,
3,0,7,7,1,73.28,73.28,73.28,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
3,0,7,7,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
3,0,7,7,1,370.69,370.69,370.69,BALERO,370.69,370.69,
3,0,7,7,1,370.69,370.69,370.69,JUEGO DE BALATA DELANTERO,370.69,370.69,
3,0,7,7,4,88.79,88.79,355.16,ACEITE MOBIL SUPER TRC 20W-50 API SN 946ML,88.79,88.79,
9,0,18,14,1,67.24,67.24,67.24,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
9,0,18,14,1,73.28,73.28,73.28,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
9,0,18,14,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
9,0,18,14,1,146.55,146.55,146.55,FILTRO DE AIRE PUROLATOR TA35671 EQ/ F-21A00,146.55,146.55,
9,0,18,14,6,113.79,113.79,682.74,ACEITE SEMISINTETICO MOBIL 5W-30 API SN,113.79,113.79,
11,0,22,18,1,1049.93,1049.93,1049.93,BARRA CARDÁN PARA FORD,1049.93,1049.93,
12,0,25,21,1,67.24,67.24,67.24,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
12,0,25,21,1,73.28,73.28,73.28,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
12,0,25,21,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
12,0,25,21,4,36.21,36.21,144.84,BUJÍA CHAMPION,36.21,36.21,
12,0,25,21,4,81.9,81.9,327.6,ACEITE CHEVRON HAVOLINE 20W-50 946ML,81.9,81.9,
12,0,25,21,1,103.45,103.45,103.45,FILTRO DE AIRE INTERFIL F-43A09,103.45,103.45,
13,0,24,20,2,328.21,328.21,656.42,ROTULA SUPERIOR PARA LUV,328.21,328.21,
13,0,24,20,4,160.68,160.68,642.72,TERMINAL R Y L PARA LUV,160.68,160.68,
13,0,24,20,1,1910.22,1910.22,1910.22,VARILLA PRINCIPAL,1910.22,1910.22,
14,0,24,20,1,341.4,341.4,341.4,JUEGO DE BALATAS DELANTERAS PARA LUV,341.4,341.4,
14,0,24,20,2,260.92,260.92,521.84,ROTULA PARA LUV,260.92,260.92,
15,0,12,12,4,27.59,27.59,110.36,BUJÍA NGK BKR5,27.59,27.59,
15,0,12,12,1,67.24,67.24,67.24,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
15,0,12,12,1,73.28,73.28,73.28,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
15,0,12,12,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
15,0,12,12,4,64.66,64.66,258.64,ACEITE MOBIL ESPECIAL SAE 20W-50 D/T,64.66,64.66,
15,0,12,12,1,1893.97,1893.97,1893.97,FULL SET DE EMPAQUE PARA HONDA CIVIC,1893.97,1893.97,
15,0,12,12,1,461.21,461.21,461.21,JUEGO DE ANILLOS EN STD PARA HONDA,461.21,461.21,
15,0,12,12,1,293.1,293.1,293.1,JUEGO DE METALES DE BIELA STD PARA HONDA,293.1,293.1,
15,0,12,12,1,469.83,469.83,469.83,JUEGO DE METALES DE BANCADA CON AXIALES INCLUIDOS PARA HONDA,469.83,469.83,
15,0,12,12,1,1392.24,1392.24,1392.24,BOMBA DE ACEITE REXITE PARA CIVIC,1392.24,1392.24,
15,0,12,12,1,202.59,202.59,202.59,FILTRO DE COMBUSTIBLE FGI-50,202.59,202.59,
15,0,12,12,1,431.03,431.03,431.03,CONSUMIBLES DE LIMPIEZA Y SELLADO DE MOTOR,431.03,431.03,
15,0,12,12,1,3077.59,3077.59,3077.59,CABEZOTE PARA HONDA CIVIC,3077.59,3077.59,
15,0,12,12,1,948.28,948.28,948.28,TUBO DE ENFRIAMIENTO PARA CIVIC,948.28,948.28,517.24
15,0,12,12,1,517.24,517.24,517.24,"MANGUERAS,ABRAZADERAS Y CONSUMIBLES VARIOS DE LIMPIEZA",517.24,517.24,
15,0,12,12,1,133.62,133.62,133.62,GALÓN DE ANTICONGELANTE PRESTONE 33%,133.62,133.62,
